"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Inbetriebnahmedatum der Einheit am aktuellen Standort";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Gemeinde";"Landkreis";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Überwiegende Nutzungsart der Fläche vor Errichtung";"Bereich der überwiegenden Nutzungsart der Fläche vor Errichtung";"Größe der in Anspruch genommenen Fläche in Hektar";"Zusätzliche Merkmale der Fläche und der aktuellen Flächennutzung";"Technologie der Stromerzeugung";"Volleinspeisung oder Teileinspeisung";"Art der Solaranlage";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Hauptneigungswinkel der Solar-Module";"Nutzungsbereich des Gebäudes mit Solaranlage";"Name des Solarparks";"Lichte Höhe in Meter";"Name des Windparks";"Wind an Land oder auf See";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"MaStR-Nr. der Speichereinheit";"Speichertechnologie";"Nutzbare Speicherkapazität in kWh";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE970736502218";"FIWA III-3";"In Betrieb";"Solare Strahlungsenergie";"1360,8";"1250";"6/22/2010";"";"11/9/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur49:311";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"6048";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG906998254152";"E41081010000000000000000000158406";"6/22/2010";"1360,8";"";"";"";"";""
"SEE926246865442";"FIWA III-4";"In Betrieb";"Solare Strahlungsenergie";"1434,96";"1250";"6/25/2010";"";"11/9/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur49:311";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"6096";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG991040978872";"E41081010000000000000000000158539";"6/25/2010";"1434,96";"";"";"";"";""
"SEE935387305397";"FIWA III-5";"In Betrieb";"Solare Strahlungsenergie";"1371,6";"1250";"8/20/2010";"";"11/9/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur53:107";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"6096";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG971155251596";"E41081010000000000000000000161210";"8/20/2010";"1371,6";"";"";"";"";""
"SEE996932142881";"FIWA III-6";"In Betrieb";"Solare Strahlungsenergie";"1371,6";"1250";"8/20/2010";"";"11/9/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur52:107";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"6096";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG973470463593";"E41081010000000000000000000161245";"8/20/2010";"1371,6";"";"";"";"";""
"SEE999784885586";"MAL1";"In Betrieb";"Wind";"5700";"5700";"10/27/2022";"";"10/31/2022";"Brandenburg";"16278";"Mark Landin";"";"";"Schönermark";"Flur3: 012.";"12073386";"Mark Landin";"Uckermark";"53,089505";"14,077537";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Mark Landin";"Windkraft an Land";"164";"149";"Nordex Energy GmbH";"Nordex N149/5.X Delta4000";"";"";"";"";"11/10/2022";"";"";"Phase 5 GmbH & Co. Windkraft VII KG";"ABR956270240762";"SGE938639102973";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL940438700175";"EEG955420534607";"";"10/27/2022";"5700";"WIN21-1/054,";"";"";"";""
"SEE987055665845";"Hohenseefeld 2000-352-01";"In Betrieb";"Wind";"2000";"2000";"12/11/2002";"";"11/10/2020";"Brandenburg";"14913";"Hohenseefeld";"";"";"Hohenseefeld";"Flur 7 und Flurstück 56";"12072298";"Niederer Fläming";"Teltow-Fläming";"51,885445";"13,321695";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Hohenseefeld";"Windkraft an Land";"90";"76";"AN Windenergie GmbH";"AN BONUS 2 MW/76";"";"";"";"";"3/31/2025";"";"";"GefuE GmbH & Co. Klinkenmühle Wind KG";"ABR981439076210";"SGE958679373355";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL927801897694";"EEG941591578175";"E41860010000000000602125827100003";"12/11/2002";"2000";"";"";"";"";""
"SEE923986610943";"FIWA III-7";"In Betrieb";"Solare Strahlungsenergie";"710,64";"630";"8/25/2010";"";"11/11/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur53:107";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"3024";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG986722610904";"E41081010000000000000000000161246";"8/25/2010";"710,64";"";"";"";"";""
"SEE902477425655";"FIWA III-8";"In Betrieb";"Solare Strahlungsenergie";"1370,88";"1250";"6/25/2010";"";"11/11/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur53:107";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"5712";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG907318418568";"E41081010000000000000000000158540";"6/25/2010";"1370,88";"";"";"";"";""
"SEE963291615356";"FIWA III-9";"In Betrieb";"Solare Strahlungsenergie";"1453,68";"1250";"6/25/2010";"";"11/11/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur53:107";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"6096";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG972885755217";"E41081010000000000000000000158542";"6/25/2010";"1453,68";"";"";"";"";""
"SEE930310633905";"FIWA III-10";"In Betrieb";"Solare Strahlungsenergie";"1371,6";"1250";"6/22/2010";"";"11/11/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur52:107";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"6096";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG927769604433";"E41081010000000000000000000158408";"6/22/2010";"1371,6";"";"";"";"";""
"SEE980034550668";"FIWA III-11";"In Betrieb";"Solare Strahlungsenergie";"1397,4";"1250";"6/30/2010";"";"11/11/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur52:107";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"6096";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG996789596745";"E41081010000000000000000000158904";"6/30/2010";"1397,4";"";"";"";"";""
"SEE978917700149";"FIWA III-12";"In Betrieb";"Solare Strahlungsenergie";"1359,36";"1250";"6/25/2010";"";"11/11/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur53:107";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"5664";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG912787608457";"E41081010000000000000000000158543";"6/25/2010";"1359,36";"";"";"";"";""
"SEE966684322107";"FIWA III-13";"In Betrieb";"Solare Strahlungsenergie";"1402,08";"1250";"8/25/2010";"";"11/11/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur53:107";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"6096";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG919844855199";"E41081010000000000000000000161247";"8/25/2010";"1402,08";"";"";"";"";""
"SEE922467288190";"FIWA III-14";"In Betrieb";"Solare Strahlungsenergie";"710,64";"630";"8/25/2010";"";"11/11/2020";"Brandenburg";"03238";"Finsterwalde";"";"";"Finsterwalde";"Flur53:107";"12062140";"Finsterwalde";"Elbe-Elster";"51,566636";"13,716684";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"3024";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"FIWA III Projektgesellschaft mbH & Co. KG";"ABR976808901668";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL970195866029";"EEG936093869876";"E41081010000000000000000000137593";"8/25/2010";"710,64";"";"";"";"";""
"SEE911142757724";"13-28140159 (E32206)";"In Betrieb";"Wind";"2530";"2530";"1/21/2016";"";"11/11/2020";"Brandenburg";"15936";"Dahme";"";"";"Wahlsdorf";"Flur 3 Flurstück 43";"12072053";"Dahme/Mark";"Teltow-Fläming";"51,968849";"13,334834";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Dahme-Wahlsdorf 3 GmbH & Co. KG";"Windkraft an Land";"139";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"";"";"1/27/2025";"";"";"Windpark Dahme-Wahlsdorf 3 GmbH & Co. KG";"ABR988127532652";"SGE964465468877";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL912157231667";"EEG974332288057";"E4186001EA01000000000078641300002";"1/21/2016";"2530";"";"";"";"";""
"SEE958240338363";"09-28140161 (E32289)";"In Betrieb";"Wind";"2530";"2530";"2/13/2016";"";"11/11/2020";"Brandenburg";"15936";"Dahme";"";"";"Wahlsdorf";"Flur 3 Flurstück 12";"12072053";"Dahme/Mark";"Teltow-Fläming";"51,971751";"13,323851";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Dahme-Wahlsdorf 3 GmbH & Co. KG";"Windkraft an Land";"139";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"";"";"4/3/2025";"";"";"Windpark Dahme-Wahlsdorf 3 GmbH & Co. KG";"ABR988127532652";"SGE964465468877";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL912157231667";"EEG956801232358";"E4186001EA01000000000078641300003";"2/13/2016";"2530";"";"";"";"";""
"SEE908766965840";"Luckau I";"In Betrieb";"Solare Strahlungsenergie";"1554,54";"1496";"12/21/2011";"";"11/11/2020";"Brandenburg";"15926";"Luckau";"Frederik-Ipsen-Straße";"6";"";"";"12061320";"Luckau";"Dahme-Spreewald";"51,87428";"13,794349";"";"";"";"";"";"Teileinspeisung (einschließlich Eigenverbrauch)";"Freiflächensolaranlage";"7972";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Bongartz / Hirte Grundstück und Photovoltaik GbR";"ABR938735653102";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL985003019443";"EEG944269087863";"E41081010000000000000000000185016";"12/21/2011";"1554,54";"";"";"";"";""
"SEE965753897959";"15-28140157 (E32182)";"In Betrieb";"Wind";"2530";"2530";"1/14/2016";"";"11/11/2020";"Brandenburg";"15936";"Dahme";"";"";"Wahlsdorf";"Flur 3 Flurstück 77";"12072053";"Dahme/Mark";"Teltow-Fläming";"51,969841";"13,345265";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Dahme-Wahlsdorf 3 GmbH & Co. KG";"Windkraft an Land";"139";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"";"";"2/6/2025";"";"";"Windpark Dahme-Wahlsdorf 3 GmbH & Co. KG";"ABR988127532652";"SGE964465468877";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL912157231667";"EEG973757863825";"E4186001EA01000000000078641300001";"1/14/2016";"2530";"";"";"";"";""
"SEE967062573401";"Luckau II";"In Betrieb";"Solare Strahlungsenergie";"5731,83";"4947";"12/21/2011";"";"11/11/2020";"Brandenburg";"15926";"Luckau";"Frederik-Ipsen-Straße";"1";"";"";"12061320";"Luckau";"Dahme-Spreewald";"51,86971";"13,785663";"";"";"";"";"";"Teileinspeisung (einschließlich Eigenverbrauch)";"Freiflächensolaranlage";"29394";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"Bongartz / Hirte Grundstück und Photovoltaik GbR";"ABR938735653102";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL985003019443";"EEG999396308978";"E41081010000000000000000000185015";"12/21/2011";"5731,83";"";"";"";"";""
"SEE951552541346";"Hohenseefeld 2000-322-10";"In Betrieb";"Wind";"2000";"2000";"12/11/2002";"";"11/11/2020";"Brandenburg";"14913";"Hohenseefeld";"";"";"Hohenseefeld";"Flur 7 und Flurstück 15";"12072298";"Niederer Fläming";"Teltow-Fläming";"51,882346";"13,320451";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Hohenseefeld";"Windkraft an Land";"90";"76";"AN Windenergie GmbH";"AN BONUS 2,0 MW/76";"";"";"";"";"4/1/2025";"";"";"GefuE GmbH & Co. Klinkenmühle Wind KG";"ABR981439076210";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908934842126";"EEG908572538825";"E41860010000000000602125827100006";"12/11/2002";"2000";"";"";"";"";""
"SEE991022641107";"Werbig 2000-340-01";"In Betrieb";"Wind";"2000";"2000";"12/1/2003";"";"11/11/2020";"Brandenburg";"14913";"Lichterfelde";"Dorfstraße";"";"";"";"12072298";"Niederer Fläming";"Teltow-Fläming";"51,925955";"13,219128";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Werbig 5";"Windkraft an Land";"90";"76";"AN Windenergie GmbH";"AN BONUS 2,0 MW/76";"";"";"";"";"6/2/2025";"";"";"GefuE GmbH & Co. Klinkenmühle Wind KG";"ABR981439076210";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908934842126";"EEG923445660786";"E41860010000000000602125827100011";"12/1/2003";"2000";"";"";"";"";""
"SEE935013358322";"NM 68252-29";"In Betrieb";"Wind";"1500";"1500";"10/1/2003";"";"11/12/2020";"Brandenburg";"14641";"Nauen";"";"";"Nauen";"27   40";"12063208";"Nauen";"Havelland";"52,586556";"12,856428";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Aschersleben/Nauen";"Windkraft an Land";"93,6";"82";"NEG Micon Deutschland GmbH";"NM 82/1500";"";"";"";"";"10/14/2024";"";"";"Windpark Aschersleben/Nauen GmbH & Co. KG";"ABR980956903832";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL931161235959";"EEG966338916522";"E41860010000000000602125681700011";"10/1/2003";"1500";"";"";"";"";""
"SEE960128164667";"1011557";"In Betrieb";"Wind";"3050";"3050";"12/20/2021";"";"12/30/2021";"Brandenburg";"14822";"Niederwerbig";"";"";"Niederwerbig";"Flur 3: 64";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,10558";"12,764814";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Niederwerbig";"Windkraft an Land";"135";"101";"ENERCON GmbH";"E-101";"";"";"";"";"12/19/2024";"";"";"Windpark GmbH & Co. Niederwerbig KG";"ABR991034293844";"SGE912208354659";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL927992782083";"EEG904676493206";"E4186001S000000000000125159100001";"12/20/2021";"3050";"WIN21-2/043,";"";"";"";""
"SEE915832188492";"NM 68253-28";"In Betrieb";"Wind";"1500";"1500";"10/1/2003";"";"11/12/2020";"Brandenburg";"14641";"Nauen";"";"";"Nauen";"27    173";"12063208";"Nauen";"Havelland";"52,583881";"12,855542";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Aschersleben/Nauen";"Windkraft an Land";"93,6";"82";"NEG Micon Deutschland GmbH";"NM82/1500";"";"";"";"";"9/18/2024";"";"";"Windpark Aschersleben/Nauen GmbH & Co. KG";"ABR980956903832";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL931161235959";"EEG913225609593";"E41860010000000000602125681700012";"10/1/2003";"1500";"";"";"";"";""
"SEE904247798549";"NM 68255-02";"In Betrieb";"Wind";"1500";"1500";"10/1/2003";"";"11/12/2020";"Brandenburg";"14641";"Nauen";"";"";"Nauen";"2     17";"12063208";"Nauen";"Havelland";"52,577224";"12,840468";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Aschersleben/Nauen";"Windkraft an Land";"93,6";"82";"NEG Micon Deutschland GmbH";"NM 82/1500";"";"";"";"";"9/25/2024";"";"";"Windpark Aschersleben/Nauen GmbH & Co. KG";"ABR980956903832";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL931161235959";"EEG959783663219";"E41860010000000000602125681700014";"10/1/2003";"1500";"";"";"";"";""
"SEE988722606604";"NM 68256-01";"In Betrieb";"Wind";"1500";"1500";"10/1/2003";"";"11/12/2020";"Brandenburg";"14641";"Nauen";"";"";"Nauen";"2      14";"12063208";"Nauen";"Havelland";"52,579694";"12,841271";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Aschersleben/Nauen";"Windkraft an Land";"93,6";"82";"NEG Micon Deutschland GmbH";"NM82/1500";"";"";"";"";"11/13/2024";"";"";"Windpark Aschersleben/Nauen GmbH & Co. KG";"ABR980956903832";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL931161235959";"EEG997174862629";"E41860010000000000602125681700013";"10/1/2003";"1500";"";"";"";"";""
"SEE913121380596";"1011558";"In Betrieb";"Wind";"3050";"3050";"12/21/2021";"";"12/30/2021";"Brandenburg";"14822";"Niederwerbig";"";"";"Niederwerbig";"Flur 3; Flurstück 42";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,105063";"12,771236";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Niederwerbig";"Windkraft an Land";"135";"101";"ENERCON GmbH";"E-101";"";"";"";"";"12/19/2024";"";"";"Windpark GmbH & Co. Niederwerbig KG";"ABR991034293844";"SGE912208354659";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL927992782083";"EEG987594420677";"E4186001S000000000000125159100005";"12/21/2021";"3050";"WIN21-2/043,";"";"";"";""
"SEE987662341453";"1011559";"In Betrieb";"Wind";"3050";"3050";"12/20/2021";"";"12/30/2021";"Brandenburg";"14822";"Niederwerbig";"";"";"Niederwerbig";"Flur 3; Flurstück 72";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,102228";"12,761141";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Niederwerbig";"Windkraft an Land";"135";"101";"ENERCON GmbH";"E-101";"";"";"";"";"12/19/2024";"";"";"Windpark GmbH & Co. Niederwerbig KG";"ABR991034293844";"SGE912208354659";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL927992782083";"EEG947488012913";"E4186001S000000000000125159100002";"12/20/2021";"3050";"WIN21-2/043,";"";"";"";""
"SEE904461185859";"1011560";"In Betrieb";"Wind";"3050";"3050";"12/22/2021";"";"12/30/2021";"Brandenburg";"14822";"Niederwerbig";"";"";"Niederwerbig";"Flur 3; Flurstück 57";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,101411";"12,767359";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Niederwerbig";"Windkraft an Land";"135";"101";"ENERCON GmbH";"E-101";"";"";"";"";"12/19/2024";"";"";"Windpark GmbH & Co. Niederwerbig KG";"ABR991034293844";"SGE912208354659";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL927992782083";"EEG919937588126";"E4186001S000000000000125159100008";"12/22/2021";"3050";"WIN21-2/043,";"";"";"";""
"SEE951005131575";"1011561";"In Betrieb";"Wind";"3050";"3050";"12/20/2021";"";"12/30/2021";"Brandenburg";"14822";"Niederwerbig";"";"";"Niederwerbig";"Flur 3; Flurstück 34";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,101391";"12,772996";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Niederwerbig";"Windkraft an Land";"135";"101";"ENERCON GmbH";"E-101";"";"";"";"";"12/19/2024";"";"";"Windpark GmbH & Co. Niederwerbig KG";"ABR991034293844";"SGE912208354659";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL927992782083";"EEG931363646546";"E4186001S000000000000125159100003";"12/20/2021";"3050";"WIN21-2/043,";"";"";"";""
"SEE957866651795";"1011562";"In Betrieb";"Wind";"3050";"3050";"12/20/2021";"";"12/30/2021";"Brandenburg";"14822";"Niederwerbig";"";"";"Niederwerbig";"Flur 3; Flurstück 30";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,100946";"12,778479";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Niederwerbig";"Windkraft an Land";"135";"101";"ENERCON GmbH";"E-101";"";"";"";"";"12/19/2024";"";"";"Windpark GmbH & Co. Niederwerbig KG";"ABR991034293844";"SGE912208354659";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL927992782083";"EEG961457237657";"E4186001S000000000000125159100004";"12/20/2021";"3050";"WIN21-2/043,";"";"";"";""
"SEE913279829015";"1011563";"In Betrieb";"Wind";"3050";"3050";"12/21/2021";"";"12/30/2021";"Brandenburg";"14822";"Niederwerbig";"";"";"Niederwerbig";"Flur 3; Flurstück 78";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,101107";"12,784648";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Niederwerbig";"Windkraft an Land";"135";"101";"ENERCON GmbH";"E-101";"";"";"";"";"12/19/2024";"";"";"Windpark GmbH & Co. Niederwerbig KG";"ABR991034293844";"SGE912208354659";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL927992782083";"EEG930595075124";"E4186001S000000000000125159100006";"12/21/2021";"3050";"WIN21-2/043,";"";"";"";""
